id,fecha,cantidad,tipo,cuentaOrigen,cuentaDestino,dateCreated,lastUpdated
26886,2020-04-13,4176.127114508015,TRANSFERENCIA,95564838,68158594,2020-07-26T18:21:46Z,2020-08-05T18:21:46Z
72615,2021-12-07,4273.926955954303,DEPOSITO,66438650,56700915,2022-11-04T23:11:30Z,2022-11-10T23:11:30Z
8805,2022-11-22,2688.411556476265,RETIRO,18045324,56312775,2020-09-16T22:58:06Z,2020-09-24T22:58:06Z
86466,2020-01-19,1324.652535163233,TRANSFERENCIA,77350255,63245388,2020-09-15T18:34:53Z,2020-10-08T18:34:53Z
98876,2021-05-13,401.71328674683156,RETIRO,69886822,31997843,2021-08-23T11:24:43Z,2021-09-10T11:24:43Z
20133,2020-05-02,262.0659546052833,RETIRO,84338373,54620019,2021-02-04T11:00:46Z,2021-02-13T11:00:46Z
50054,2020-07-20,2722.7873971646923,RETIRO,14369420,43148510,2022-05-04T00:11:47Z,2022-05-22T00:11:47Z
44708,2021-04-10,4623.9158871977515,TRANSFERENCIA,67939522,54524827,2022-08-11T02:33:05Z,2022-09-09T02:33:05Z
22617,2020-01-05,7265.170380248209,RETIRO,15928832,16256399,2022-09-29T09:29:24Z,2022-10-24T09:29:24Z
81842,2022-08-10,4753.96829013295,DEPOSITO,28780522,33781423,2022-04-26T02:16:03Z,2022-04-27T02:16:03Z
38608,2021-07-19,9041.467686158465,RETIRO,16593668,42221719,2022-05-18T13:07:08Z,2022-06-15T13:07:08Z
97621,2022-06-13,361.8458477083167,TRANSFERENCIA,28165704,20175418,2020-06-25T20:35:31Z,2020-07-12T20:35:31Z
22899,2022-06-23,1814.799609190937,TRANSFERENCIA,12966317,87173598,2021-01-25T15:34:28Z,2021-01-29T15:34:28Z
9482,2022-11-20,3391.7597827737254,RETIRO,58886236,56852051,2020-05-29T11:11:07Z,2020-06-27T11:11:07Z
40069,2021-01-28,5779.186918770573,DEPOSITO,67868487,71113997,2020-02-09T11:55:58Z,2020-03-06T11:55:58Z
64434,2021-07-10,8528.834217360485,RETIRO,51848682,98564390,2021-08-19T10:20:22Z,2021-09-17T10:20:22Z
85017,2021-04-12,3508.5175000461986,TRANSFERENCIA,64513743,14195114,2022-11-26T20:50:57Z,2022-12-20T20:50:57Z
75359,2020-04-13,2687.2069382191567,RETIRO,44022960,75796805,2022-02-27T08:32:28Z,2022-03-24T08:32:28Z
53124,2021-10-09,628.2727967405285,RETIRO,92966850,83330235,2020-03-13T04:25:56Z,2020-03-23T04:25:56Z
20046,2021-02-05,8214.82174220406,TRANSFERENCIA,97332400,97311726,2022-12-06T18:45:52Z,2022-12-20T18:45:52Z
1292,2021-05-05,3802.867767634723,TRANSFERENCIA,66448730,78349148,2022-10-25T13:45:42Z,2022-11-04T13:45:42Z
57742,2021-07-24,5719.786452215174,TRANSFERENCIA,40533784,60043133,2021-10-31T15:34:20Z,2021-11-11T15:34:20Z
35301,2022-08-06,9835.718627530492,TRANSFERENCIA,76931087,55725868,2020-05-10T11:34:38Z,2020-06-01T11:34:38Z
34898,2020-02-23,25.929760336902817,DEPOSITO,18103807,10038542,2020-12-01T06:51:28Z,2020-12-24T06:51:28Z
25755,2022-11-10,1463.0469055816711,RETIRO,73551365,11506546,2022-02-17T21:28:05Z,2022-03-18T21:28:05Z
12231,2022-05-12,7793.318830253361,TRANSFERENCIA,98164886,37904081,2021-11-04T09:41:12Z,2021-12-02T09:41:12Z
50864,2020-10-19,8053.2235772263,TRANSFERENCIA,59537334,23137615,2020-11-11T06:52:40Z,2020-11-16T06:52:40Z
30307,2021-10-25,7694.778719137227,RETIRO,32682419,61966116,2021-07-17T19:12:45Z,2021-08-09T19:12:45Z
62998,2021-12-09,5374.618921517865,DEPOSITO,24718109,22223014,2020-06-12T03:39:36Z,2020-06-20T03:39:36Z
12181,2022-01-29,9788.78124042033,TRANSFERENCIA,12636602,50304158,2020-03-28T14:33:45Z,2020-04-10T14:33:45Z
5803,2021-06-29,3967.8837543532522,TRANSFERENCIA,72758780,99992659,2020-02-26T18:09:51Z,2020-02-28T18:09:51Z
8059,2022-06-13,6023.417544149992,DEPOSITO,42349460,28873322,2021-05-31T20:17:33Z,2021-06-13T20:17:33Z
17554,2022-07-13,643.0563554429946,DEPOSITO,99608511,85554643,2021-04-10T03:06:10Z,2021-05-01T03:06:10Z
94822,2020-05-10,4104.4759245743135,TRANSFERENCIA,79813166,56257695,2020-07-05T11:24:53Z,2020-07-19T11:24:53Z
20442,2022-11-29,7227.775874224121,TRANSFERENCIA,30902241,51653092,2022-10-04T02:45:12Z,2022-10-25T02:45:12Z
93429,2021-10-24,2395.001019299286,TRANSFERENCIA,58476747,55116649,2022-07-28T19:57:12Z,2022-08-24T19:57:12Z
39382,2020-02-29,9438.837614840753,RETIRO,79253470,44293579,2020-06-08T06:24:42Z,2020-06-10T06:24:42Z
81509,2020-12-15,6870.965842756458,TRANSFERENCIA,58809070,79982215,2021-01-02T09:32:58Z,2021-01-22T09:32:58Z
93381,2021-07-28,2882.8780747471387,DEPOSITO,34257803,77060045,2021-03-05T07:51:09Z,2021-03-22T07:51:09Z
4208,2020-12-09,7692.299237831505,DEPOSITO,19354182,61095486,2020-07-14T03:22:44Z,2020-07-16T03:22:44Z
71778,2020-11-04,840.81607036301,DEPOSITO,43273634,74749998,2020-02-14T23:40:38Z,2020-02-20T23:40:38Z
18671,2021-11-11,9747.996480879461,TRANSFERENCIA,56808361,32787616,2021-10-26T05:19:29Z,2021-11-10T05:19:29Z
96660,2022-08-06,502.3597381448496,TRANSFERENCIA,68907338,67398304,2022-05-04T06:05:24Z,2022-05-15T06:05:24Z
81777,2021-10-17,9335.224352575697,DEPOSITO,37867227,58834076,2020-10-20T02:07:06Z,2020-10-24T02:07:06Z
87052,2021-04-23,2536.0102387051293,RETIRO,45745873,11531916,2021-05-07T16:47:38Z,2021-05-16T16:47:38Z
39906,2020-05-08,7580.662835831996,TRANSFERENCIA,56812043,43576029,2020-04-30T17:00:19Z,2020-05-26T17:00:19Z
46618,2021-11-05,10.736257336729832,DEPOSITO,50325309,67646154,2021-04-03T06:17:06Z,2021-04-19T06:17:06Z
71008,2022-06-23,2549.858490904201,RETIRO,26297421,48509546,2020-10-28T10:45:32Z,2020-10-29T10:45:32Z
14938,2022-07-22,7493.515060430702,DEPOSITO,65953262,69374647,2021-10-16T03:12:21Z,2021-11-07T03:12:21Z
